frame.number,frame.time,zbee_nwk.frame_type,zbee_nwk.radius,zbee_nwk.dst,data.len
"1","Feb 25, 2020 19:28:25.673508000 PST","0x00000001","1","0x0000fffc",
"2","Feb 25, 2020 19:28:32.648368000 PST","0x00000001","30","0x0000fffc",
"3","Feb 25, 2020 19:28:32.958455000 PST","0x00000001","30","0x0000fffc",
"4","Feb 25, 2020 19:28:33.228625000 PST","0x00000001","30","0x0000fffc",
"5","Feb 25, 2020 19:28:39.491632000 PST","0x00000001","1","0x0000fffc",
"6","Feb 25, 2020 19:28:54.585239000 PST","0x00000001","1","0x0000fffc",
"7","Feb 25, 2020 19:29:11.783013000 PST","0x00000001","1","0x0000fffc",
"8","Feb 25, 2020 19:29:25.829907000 PST","0x00000001","1","0x0000fffc",
"9","Feb 25, 2020 19:29:32.694364000 PST","0x00000001","30","0x0000fffc",
"10","Feb 25, 2020 19:29:33.024338000 PST","0x00000001","30","0x0000fffc",
"11","Feb 25, 2020 19:29:33.336150000 PST","0x00000001","30","0x0000fffc",
"12","Feb 25, 2020 19:29:33.606127000 PST","0x00000001","30","0x0000fffc",
"13","Feb 25, 2020 19:29:42.949278000 PST","0x00000001","1","0x0000fffc",
"14","Feb 25, 2020 19:29:58.078003000 PST","0x00000001","1","0x0000fffc",
"15","Feb 25, 2020 19:30:15.226998000 PST","0x00000001","1","0x0000fffc",
"16","Feb 25, 2020 19:30:28.870867000 PST","0x00000001","1","0x0000fffc",
"17","Feb 25, 2020 19:30:32.743886000 PST","0x00000001","30","0x0000fffc",
"18","Feb 25, 2020 19:30:33.061512000 PST","0x00000001","30","0x0000fffc",
"19","Feb 25, 2020 19:30:33.333035000 PST","0x00000001","30","0x0000fffc",
"20","Feb 25, 2020 19:30:33.624524000 PST","0x00000001","30","0x0000fffc",
"21","Feb 25, 2020 19:30:38.093376000 PST","0x00000000","30","0x0000fffc",
"22","Feb 25, 2020 19:30:38.580006000 PST","0x00000000","30","0x0000fffc",
"23","Feb 25, 2020 19:30:42.758765000 PST","0x00000001","1","0x0000fffc",
"24","Feb 25, 2020 19:30:44.759029000 PST",,,,
"25","Feb 25, 2020 19:30:44.846282000 PST",,,,
"26","Feb 25, 2020 19:30:44.901096000 PST",,,,
"27","Feb 25, 2020 19:30:44.979137000 PST",,,,
"28","Feb 25, 2020 19:30:45.041576000 PST",,,,
"29","Feb 25, 2020 19:30:45.042114000 PST",,,,
"30","Feb 25, 2020 19:30:45.243673000 PST",,,,
"31","Feb 25, 2020 19:30:45.244213000 PST",,,,
"32","Feb 25, 2020 19:30:45.247756000 PST",,,,
"33","Feb 25, 2020 19:30:45.248296000 PST",,,,
"34","Feb 25, 2020 19:30:45.257010000 PST","0x00000000","30","0x000004ef",
"35","Feb 25, 2020 19:30:45.257553000 PST",,,,
"36","Feb 25, 2020 19:30:47.286230000 PST","0x00000000","30","0x000004ef",
"37","Feb 25, 2020 19:30:47.286802000 PST",,,,
"38","Feb 25, 2020 19:30:48.450052000 PST",,,,
"39","Feb 25, 2020 19:30:48.511208000 PST",,,,
"40","Feb 25, 2020 19:30:48.592437000 PST",,,,
"41","Feb 25, 2020 19:30:48.592971000 PST",,,,
"42","Feb 25, 2020 19:30:48.792815000 PST",,,,
"43","Feb 25, 2020 19:30:48.793352000 PST",,,,
"44","Feb 25, 2020 19:30:48.795093000 PST",,,,
"45","Feb 25, 2020 19:30:48.795444000 PST",,,,
"46","Feb 25, 2020 19:30:48.803881000 PST","0x00000000","30","0x0000fb91",
"47","Feb 25, 2020 19:30:48.804421000 PST",,,,
"48","Feb 25, 2020 19:30:48.834460000 PST","0x00000000","30","0x0000fffd",
"49","Feb 25, 2020 19:30:48.836545000 PST","0x00000000","30","0x0000fb91",
"50","Feb 25, 2020 19:30:48.837088000 PST",,,,
"51","Feb 25, 2020 19:30:48.844080000 PST","0x00000000","30","0x0000fb91",
"52","Feb 25, 2020 19:30:48.844538000 PST",,,,
"53","Feb 25, 2020 19:30:48.848711000 PST","0x00000000","30","0x0000fffd",
"54","Feb 25, 2020 19:30:48.852021000 PST","0x00000001","1","0x0000fffc",
"55","Feb 25, 2020 19:30:48.856791000 PST","0x00000001","30","0x00000000",
"56","Feb 25, 2020 19:30:48.857329000 PST",,,,
"57","Feb 25, 2020 19:30:48.860598000 PST","0x00000001","30","0x00000000",
"58","Feb 25, 2020 19:30:48.861139000 PST",,,,
"59","Feb 25, 2020 19:30:48.865953000 PST","0x00000001","30","0x00000000",
"60","Feb 25, 2020 19:30:48.866494000 PST",,,,
"61","Feb 25, 2020 19:30:48.870720000 PST","0x00000001","30","0x00000000",
"62","Feb 25, 2020 19:30:48.871212000 PST",,,,
"63","Feb 25, 2020 19:30:48.890375000 PST","0x00000000","29","0x0000fffd",
"64","Feb 25, 2020 19:30:48.893909000 PST","0x00000000","30","0x00000000",
"65","Feb 25, 2020 19:30:48.894447000 PST",,,,
"66","Feb 25, 2020 19:30:48.897625000 PST","0x00000000","30","0x00000000",
"67","Feb 25, 2020 19:30:48.898172000 PST",,,,
"68","Feb 25, 2020 19:30:48.901168000 PST","0x00000000","30","0x00000000",
"69","Feb 25, 2020 19:30:48.901706000 PST",,,,
"70","Feb 25, 2020 19:30:48.910708000 PST","0x00000000","30","0x00000000",
"71","Feb 25, 2020 19:30:48.911241000 PST",,,,
"72","Feb 25, 2020 19:30:48.913416000 PST","0x00000000","30","0x0000fb91",
"73","Feb 25, 2020 19:30:48.913957000 PST",,,,
"74","Feb 25, 2020 19:30:48.917413000 PST","0x00000000","30","0x0000fb91",
"75","Feb 25, 2020 19:30:48.917962000 PST",,,,
"76","Feb 25, 2020 19:30:48.921765000 PST","0x00000000","29","0x0000fffd",
"77","Feb 25, 2020 19:30:48.966823000 PST","0x00000000","30","0x0000fb91",
"78","Feb 25, 2020 19:30:48.967295000 PST",,,,
"79","Feb 25, 2020 19:30:48.971677000 PST","0x00000001","30","0x00000000",
"80","Feb 25, 2020 19:30:48.972216000 PST",,,,
"81","Feb 25, 2020 19:30:48.977391000 PST","0x00000001","30","0x00000000",
"82","Feb 25, 2020 19:30:48.977932000 PST",,,,
"83","Feb 25, 2020 19:30:49.002799000 PST","0x00000000","30","0x0000fb91",
"84","Feb 25, 2020 19:30:49.003267000 PST",,,,
"85","Feb 25, 2020 19:30:49.008429000 PST","0x00000001","30","0x00000000",
"86","Feb 25, 2020 19:30:49.008968000 PST",,,,
"87","Feb 25, 2020 19:30:49.020324000 PST","0x00000000","30","0x00000000",
"88","Feb 25, 2020 19:30:49.020867000 PST",,,,
